objName,stdId,stdFlavor,ra,dec,v,bv,u,g,r,i,z,ue,ge,re,ie,ze
ugrizJ000008.4-300100,1,0,0.035208,-30.016694,12.827,0.451,14.155,12.827,12.376,12.228,12.197,0.002,0.002,0.001,0.009,0.002
ugrizJ000029.2-600333,2,0,0.121833,-60.059389,13.059,0.268,14.104,13.059,12.791,12.729,12.741,0.004,0.001,0.002,0.002,0.004
ugrizJ000326.9-284523,3,0,0.862375,-28.7565,13.153,0.741,15.181,13.153,12.412,12.116,11.99,0.005,0.004,0.002,0.003,0.003
ugrizJ000338.0-284146,4,0,0.908625,-28.696278,12.26,0.479,13.625,12.26,11.781,11.633,11.59,0.005,0.002,0.002,0.003,0.003
JL_163-E,5,0,2.741667,-50.238083,13.842,0.492,15.275,13.842,13.35,13.2,13.154,0.005,0.002,0.002,0.004,0.004
Hilt31,6,0,7.0463,64.1311,11.583,0.587,12.582,11.583,10.996,10.702,10.555,0.003,0.001,0.001,0.001,0.002
T_Phe-E,7,0,7.582333,-46.409889,11.809,0.267,12.812,11.809,11.542,11.472,11.467,0.005,0.004,0.003,0.002,0.003
G158-100,8,0,8.477753646855572,-12.134171958333333,15.201,0.51,16.302,15.201,14.691,14.469,14.377,0.018,0.006,0.006,0.004,0.009
BD+71o31,9,0,10.939456604266027,72.17912992041667,10.351,0.26,11.247,10.351,10.091,10.012,10.005,0.002,0.002,0.001,0.002,0.003
20_39,10,1,11.392324332624714,45.613484318333334,9.83,0.47,9.36,9.36,9.36,9.36,9.36,0.0,0.0,0.0,0.0,0.0
20_297,11,1,11.466264861055839,45.89579385,8.82,0.06,8.88,8.88,8.88,8.88,8.88,0.0,0.0,0.0,0.0,0.0
20_456,12,1,11.802075291930667,46.182614298611114,9.61,0.06,9.55,9.55,9.55,9.55,9.55,0.0,0.0,0.0,0.0,0.0
92_322,13,0,13.4456,0.79307,12.893,0.331,14.036,12.893,12.562,12.469,12.449,0.013,0.003,0.002,0.003,0.011
ugrizJ005432.3-375155,14,0,13.634958,-37.865278,11.493,0.368,12.697,11.493,11.125,11.03,11.018,0.005,0.002,0.003,0.003,0.005
92_342,15,0,13.79122,0.7203,11.784,0.257,12.853,11.784,11.527,11.478,11.49,0.004,0.001,0.001,0.001,0.002
92_348,16,0,13.87267,0.74257,12.369,0.408,13.587,12.369,11.961,11.836,11.811,0.005,0.002,0.002,0.002,0.003
92_263,17,0,13.91402,0.60548,12.268,0.801,14.497,12.268,11.467,11.16,10.994,0.008,0.001,0.001,0.002,0.002
92_502,18,0,14.03399,1.07378,12.001,0.289,13.032,12.001,11.712,11.634,11.624,0.004,0.003,0.002,0.002,0.004
92_276,19,0,14.11093,0.69789,12.311,0.443,13.584,12.311,11.868,11.721,11.669,0.003,0.002,0.002,0.001,0.002
92_282,20,0,14.19489,0.64157,13.072,0.136,14.072,13.072,12.936,12.915,12.924,0.017,0.002,0.004,0.005,0.015
92_364,21,0,14.21754,0.73211,11.935,0.415,13.074,11.935,11.52,11.374,11.334,0.005,0.002,0.002,0.002,0.003
Yan005701+003449,22,0,14.25637,0.58031,13.022,0.725,15.104,13.022,12.297,12.033,11.904,0.007,0.003,0.002,0.002,0.003
92_288,23,0,14.32076,0.61355,12.011,0.661,13.779,12.011,11.35,11.117,11.019,0.012,0.005,0.002,0.002,0.005
ugrizJ011418.8-713656,24,0,18.578542,-71.615778,12.942,0.524,14.454,12.942,12.418,12.262,12.212,0.004,0.002,0.002,0.002,0.002
ugrizJ011507.1-713543,25,0,18.779583,-71.5955,15.108,0.447,16.364,15.108,14.661,14.506,14.455,0.005,0.004,0.004,0.002,0.003
E1_p,26,0,21.01925,-44.395,15.132,0.616,16.756,15.132,14.516,14.298,14.189,0.018,0.003,0.003,0.002,0.003
ugrizJ012429.8-443824,27,0,21.124375,-44.640083,12.752,0.45,14.025,12.752,12.302,12.158,12.113,0.003,0.002,0.001,0.001,0.002
E1_h,28,0,21.166417,-44.565389,14.158,0.499,15.611,14.158,13.659,13.509,13.455,0.005,0.004,0.003,0.004,0.005
E1_i,29,0,21.2,-44.64167,14.193,0.707,16.122,14.193,13.486,13.234,13.096,0.006,0.004,0.003,0.001,0.003
E1_49-V,30,0,21.2395,-44.640889,11.887,0.384,13.057,11.887,11.503,11.392,11.371,0.005,0.001,0.001,0.001,0.008
ugrizJ012504.3-443330,31,0,21.268,-44.558389,14.163,0.213,15.089,14.163,13.95,13.888,13.895,0.005,0.004,0.004,0.002,0.006
ugrizJ012520.5-443945,32,0,21.33575,-44.662583,14.665,0.41,15.833,14.665,14.255,14.109,14.05,0.003,0.004,0.004,0.003,0.003
GD279,33,1,28.01233776305333,47.00196281925,12.5,0.06,12.44,12.44,12.44,12.44,12.44,0.0,0.0,0.0,0.0,0.0
93_317,34,0,28.65715,0.71679,11.754,0.317,12.822,11.754,11.437,11.353,11.351,0.007,0.003,0.001,0.002,0.003
93_333,35,0,28.77126,0.76184,12.393,0.633,14.135,12.393,11.76,11.557,11.468,0.005,0.003,0.002,0.002,0.003
93_424,36,0,28.85952,0.94523,12.123,0.823,14.533,12.123,11.3,11.019,10.896,0.025,0.002,0.002,0.002,0.016
Yan015755+620034,37,0,29.48149,62.00966,12.413,0.489,13.33,12.413,11.924,11.574,11.28,0.019,0.007,0.006,0.004,0.002
